16278|||Agrarbtr. Grünow  GmbH & CoKG|Mark Landin|154264|514|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=Agrarbtr.+Gr%C3%BCnow++GmbH+%26+CoKG+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
7334|||KARIMA - Kuhhaltungsgesellschaft mbH|Kamsdorf|154233|514|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/07334/3430014698/KARIMA_KUHHALTUNGSGESELLSCHAFT_MBH.html|None
16303|||Agrar GmbH Heinersdorf|Schwedt/Oder Stadt|154224|514|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/16303/3250038974/AGRARGESELLSCHAFT_MBH_HEINERSDORF.html|agrar_gmbh@swschwedt.de
18569|||Marktfrucht GbR Gagern|Kluis|154221|514|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/20249/2151067431/FRANK_RUMLER_THOMAS_GAGERN_CHRISTOPH_BERTRAM_UND_AXEL_MUELLER_GBR_ORTHOPAEDIE_AN_DER_ALSTER.html|info@orthopaedie-alster.de
38835|||Freudenberg und Zein GbR|Osterwieck Stadt|153945|513|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/38835/3370000525/REINHOLD_FREUDENBERG_OLIVER_ZEIN_UND_KARSTEN_ZEIN_GBR_LANDWIRTSCHAFT.html|freudenberg.luettgenrode@gmx.de
39444|||Matthes/Marten GbR|Hecklingen Stadt|153794|513|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/39444/3170014718/HERMANN_MARTEN_UND_KLAUS_DIETER_MATTHES_LANDWIRTSCHAFTSBETRIEB.html|matthes@indunorm.eu
26831|||Balsters & de Boer GbR|Bunde|153777|513|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=Balsters+%26+de+Boer+GbR+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
17438|||GbR Schafproduktion|Wolgast Stadt|153605|512|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/99947/3230170142/AGRARGENOSSENSCHAFT_E_G_AMBER_GMBH_WEILERHOF_GBR.html|None
1945|||MuKuh u.Schweinez. GmbH|Senftenberg Stadt|153502|512|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=MuKuh+u.Schweinez.+GmbH+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
99869|||Herbst und Körtge GbR|Eschenbergen|153433|511|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/33181/4290119256/RICHARD_HERBST_KG.html|None
35447|||Bauernland KG|Reiskirchen|153391|511|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/35447/6110327835/BAUERNLAND_KG.html|None
87730|||Futterbau Zeller GbR|Bad Grönenbach M|153173|511|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/87730/8150276307/MARTIN_UND_MICHAEL_ZELLER_GBR.html|None
4838|||Gutshof Klinge Agrar GbRTorsten Klinge|Jesewitz|152975|510|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=Gutshof+Klinge+Agrar+GbRTorsten+Klinge+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
15859|||Landprodukte eG Markgrafpieske|Spreenhagen|152921|510|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/15859/3250016330/LANDPRODUKTE_EG_MARKGRAFPIESKE.html|None
14715|||AGB Neitsch-Munk OHG|Märkisch Luch|152903|510|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/14715/3270154222/AGRARBETRIEBSGEMEINSCHAFT_NEITSCH_MUNK_OHG.html|agrar.nms@t-online.de
77731|||Arndt Friedhelm u. Eveline Gb|Willstätt|152863|510|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/77731/7210049974/FRIEDHELM_ARNDT_LANDWIRTSCHAFT.html|Friedhelm-Arndt@t-online.de
