29378|||Schulz & Both-Schulz GbR|Wittingen Stadt|107603|359|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/33335/4130045927/SIEGLINDE_SCHULZ_ANDREAS_SCHULZ_GBR.html|makuama@gtelnet.net
39606|||Sandauerholz GbR|Iden|107441|358|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/39606/3350011868/JUERGEN_WREDE_FRED_MELMS_GBR.html|None
17309|||Vierecker Agrar AG|Viereck|107342|358|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/16303/3250150935/GEO_AGRAR_AG.html|info@terra-agrar.de
18246|||Bretting GbR|Klein Belitz|107339|358|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/18246/3190083880/RAINER_BRETTING_UND_SIEGFRIED_BRETTING.html|r.bretting@t-online.de
1877|||Heine GbR|Demitz-Thumitz|107313|358|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/54516/5350129531/HEINE_WINGENDER_GBR.html|anders-wittlich@kabelmail.de
4932|||Schradenhof-Biol.ext.GmbH|Gröden|107311|358|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=Schradenhof-Biol.ext.GmbH+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
18334|||Carlstaler Grünl. GmbH & Co.KG|Lindholz|107164|357|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/24357/2230210400/BALTIC_AGRAR_GMBH_CO_KG.html|None
38836|||Landw. Betriebsgem. Heinemann Pittelkow Ristenbieter|Huy|107155|357|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=Landw.+Betriebsgem.+Heinemann+Pittelkow+Ristenbieter+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
99625|||Landwirtschaftsbetrieb Frank und Ilona Stöpel GbR|Beichlingen|107119|357|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/99625/3450077400/FRANK_STOEPEL_ILONA_STOEPEL_LANDWIRTSCHAFTSBETRIEB.html|frank.stoepel@t-online.de
96126|||Wunderlich Werner u. Ute GdbR.|Maroldsweisach M|107079|357|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/76437/7110114405/HORST_ZIEGLER_UND_PETRA_ZIEGLER_GDBR.html|None
17139|||Rinderzucht GmbH Kummerow|Kummerow|106948|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/17139/3490021005/RINDERZUCHTGESELLSCHAFT_KUMMEROW_MBH.html|None
39606|||Dihlmann GbR|Iden|106892|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/39606/3350032691/MICHAEL_UND_GUENTHER_DIHLMANN_GBR.html|None
38274|||Sasse/Söchting Agrar GbR|Elbe|106845|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/3/8/2/5/9_8.html|None
23858|||Pulvermann-Schorr GbR|Bahrenhof|106727|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/74321/7070341026/MANFRED_SCHORR_UND_SABINE_EWERS_SCHORR_VERPACHTUNGEN_GBR.html|None
29581|||Besenthal & Söhne GbR|Gerdau|106675|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/79362/7010348085/BINDER_UND_SOEHNE_GBR_BIOENERGIE.html|binder-gdbr@online.de
84518|||Reichenspurner Hubert GBR|Garching a.d.Alz|106668|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/84518/8250469575/HUBERT_PETER_REICHENSPURNER_GBR.html|info@reichenspurner-hof.de
19357|||Agrar - GmbH Karstädt|Karstädt|106668|356|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/19357/3330106518/AGRAR_GMBH_KARSTAEDT.html|None
99955|||Seeber GbR|Klettstedt|106589|355|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/22041/2151229601/DR_MED_NIKOLAUS_SEEBER_DR_MED_CORINNA_PETER_UND_DR_MED_FRIEDRICH_ALTHEIDE_GBR_GEMEINSCHAFTSPRAXIS.html|info@mein-hautarzt.de
