37359|||Agrarbetrieb Großbartloff e G Betrieb der Rinder- und Fischproduktion|Großbartloff|140250|467|036027 74381||Im Rottenbach 1|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Am Raschütz e.G.|http://www.firmenwissen.de/az/firmeneintrag/01561/3070050420/AGRARGENOSSENSCHAFT_AM_RASCHUETZ_E_G.html|agrargen.weissig@t-online.de
7952|||Agrar Betrieb Johannes Floß Inh. Christoph Floß|Pausa-Mühltroff Stadt|53877|180|037432 21645||Bernsgrüner Str. 4|||Landwirtschaft|Agrar GmbH Weideland|http://www.firmenwissen.de/az/firmeneintrag/01561/3070282764/AGRAR_GMBH_WEIDELAND.html|schumann@agrarbauda.de
6712|||AB Kayna e.G.|Zeitz Stadt|608297|2028|034426 21274||Sporaer Str. 9|||Landwirtschaftsbetrieb|Agrargenossenschaft e.G. Cunnersdorf/Osterzgebirge|http://www.firmenwissen.de/az/firmeneintrag/01768/3070034160/AGRARGENOSSENSCHAFT_E_G_CUNNERSDORF_OSTERZGEBIRGE.html|agrargenossenschaft-cunnersd@t-online.de
17089|||Agrarbetrieb Landgut Ludwigshöhe GmbH|Burow|325502|1085|03965 210448||Dorfstraße 1|||Landwirtschaftliche Produkte Einzelhandel|Agrargemeinschaft Oberland GmbH|http://www.firmenwissen.de/az/firmeneintrag/01904/3070109120/AGRARGEMEINSCHAFT_OBERLAND_GMBH.html|AGOberland-Neukirch@t-online.de
19376|||Agrarbetrieb Meyer KG|Tessenow|457003|1523|038729 2280||Mühlenberg 1||||ABK Agrarbetriebsgesellschaft mbH Kriepitz|http://www.firmenwissen.de/az/firmeneintrag/01920/3070183980/ABK_AGRARBETRIEBSGESELLSCHAFT_MBH_KRIEPITZ.html|None
19376|||Agrarbetrieb Naujoks GmbH|Tessenow|173208|577|038729 20233||Poltnitzer Weg|||Landwirtschaftsbetrieb|Agrargenossenschaft e.G.|http://www.firmenwissen.de/az/firmeneintrag/02779/3390006757/AGRARGENOSSENSCHAFT_E_G_HAINEWALDE_GROSSSCHOENAU.html|riedel@agrar-eg-hainewalde.de
16866|||Agrarbetrieb Rehfeld GmbH u. Co. KG|Kyritz Stadt|330376|1101|033971 73338||Rehfelder Friedensstraße 33|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Gersdorf/Deutsch Paulsdorf e.G.|http://www.firmenwissen.de/az/firmeneintrag/02829/3390012854/AGRARGENOSSENSCHAFT_GERSDORF_DEUTSCH_PAULSDORF_E_G.html|None
9221|||Agrarbetrieb Unteres Erzgebirge GmbH /die|Neukirchen/Erzgeb.|308926|1030|0371 221579||Am Hirschsteig 6|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft Dubrau e.G.|http://www.firmenwissen.de/az/firmeneintrag/03149/3050047175/AGRARGENOSSENSCHAFT_DUBRAU_EG.html|agrar.dubrau@t-online.de
99955|||Agrarbetriebsgemeinschaft Bad Tennstedt Göbel-GbR|Ballhausen|140415|468|036041 57055||Im Waidmühlenfeld|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Gößnitz eG; Verwaltung|http://www.firmenwissen.de/az/firmeneintrag/04603/3110042897/AGRARGENOSSENSCHAFT_GOESSNITZ_EG.html|aggieba@t-online.de
99955|||Agrarbetriebsgemeinschaft Ballhausen Göbel-GbR|Ballhausen|116997|390|036041 57055||Im Waidmühlenfeld|||Landwirtschaftsbetrieb|Agrar AG Ostrau|http://www.firmenwissen.de/az/firmeneintrag/04749/3150011138/AGRAR_AKTIENGESELLSCHAFT_OSTRAU.html|None
