39307|||AG Karow e. G.|Jerichow Stadt|428066|1427|039347 243||Friedenstraße 11|||Landwirtschaftsbetrieb|Agrargenossenschaft Karow e.G.|http://www.firmenwissen.de/az/ag_88.html|None
19357|||AG eG Karstädt|Karstädt|497209|1657|038797 918860||Putlitzer Str. 14E|||Landwirtschaftsbetrieb|Agrargenossenschaft Karstädt eG|http://www.firmenwissen.de/az/ag_88.html|None
15938|||Agrargen.Kasel-Golzig e.G|Kasel-Golzig|108143|360|035453 725||Golßener Str. 35|||Landwirtschaftsbetrieb|Agrargenossenschaft Kasel- Golzig eG|https://duckduckgo.com/?q=Agrargen.Kasel-Golzig+e.G+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
15890|||Agrargenossenschaft Kieselwitz eG|Schlaubetal|284363|948|033654 250||LPG-Weg 1|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft Kieselwitz eG|http://www.firmenwissen.de/az/firmeneintrag/15890/3250038247/AGRARGENOSSENSCHAFT_KIESELWITZ_E_G.html|None
7919|||Agrargenossenschaft Kirschkau eG|Kirschkau|162907|543|03663 403544||Ortsstraße 7|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Kirschkau eG|http://www.firmenwissen.de/az/firmeneintrag/07919/3110013769/AGRARGENOSSENSCHAFT_KIRSCHKAU_EG.html|agrargen.kirschkau@t-online.de
19376|||Agrargenossenschaft Klein Pankow e.G.|Siggelkow|373806|1246|038724 20214||Dorfstraße 26A|||Landwirtschaft|Agrargenossenschaft Klein Pankow e.G.|http://www.firmenwissen.de/az/firmeneintrag/19376/3330026169/AGRARGENOSSENSCHAFT_KLEIN_PANKOW_E_G.html|fg@kleinpankowagrar.de
99439|||Agrargenossenschaft Kleinobringen e.G.|Ramsla|397685|1326|036452 70775||Bei der Linde 23|||Landmaschinenhändler|Agrargenossenschaft Kleinobringen e.G.|http://www.firmenwissen.de/az/firmeneintrag/99439/3450006389/AGRARGENOSSENSCHAFT_KLEINOBRINGEN_E_G.html|agargen.kleinobringen@t-online.de
9600|||Agrargenossenschaft Kleinschirma e.G.|Oberschöna|124633|415|03731 768814||Wegefarther Str. 35|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft Kleinschirma e.G.|http://www.firmenwissen.de/az/firmeneintrag/09600/3030056756/AGRARGENOSSENSCHAFT_E_G_KLEINSCHIRMA.html|None
2943|||Agrargenossenschaft Klitten e.G.|Boxberg/O.L.|697803|2326|035895 50229||Halbendorfer Str. 213|||Landwirtschaftsbetrieb|Agrargenossenschaft Klitten eG|http://www.firmenwissen.de/az/firmeneintrag/02943/3050237677/AGRARGENOSSENSCHAFT_KLITTEN_E_G.html|None
39291|||Agrarg. Königsborn e.G.|Möckern Stadt|604036|2013|039224 254||Akazienweg 7|||Landwirtschaft|Agrargenossenschaft Königsborn eG|http://www.firmenwissen.de/az/3/9/2/9/1_1.html|None
