Area 
Code|Name|Last Name|Business Name|Location|Money|Hektar|Telephone
Number|Email|Address|Internet|Mitarbeiter|Business Description|Google 
Business 
Name|Sort
19372|||Agrar-Produkte  eG Spornitz|Spornitz|1993327|6644|None|mail@argrar-spornitz.de|No Address|||No Business Description|No Business Name|1034
6268|||Agrarunternehmen Barnstädt eG|Nemsdorf-Göhrendorf|1741045|5803|034771 720||Dorfstraße 39|||Bauernmarkt|Agrarunternehmen Barnstädt e.G.|1567
15328|||Landwirtschaft Golzow Betriebs-GmbH|Golzow|1638558|5462|033472 5730||Karl-Marx-Straße 4|||Landwirtschaftliche Produkte Einzelhandel|Landwirtschaft-Golzow GmbH|2345
36419|||Agrargenossenschaft Rhönperle eG Bremen|Geisa Stadt|1595755|5319|None|info@ag-kano.de|No Address|||No Business Description|No Business Name|530
6231|||AgrarGen.Bad Dürrenberg e.G.|Bad Dürrenberg Stadt|1469389|4898|03462 80337||Siedlungsstraße 17a|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Bad Dürrenberg e.G.|1211
9306|||Agraset-Agrargenossenschaft eG Naundorf|Erlau|1463222|4877|None||No Address|||No Business Description|No Business Name|2592
99510|||Agrargesellschaft Pfiffelbach mbH|Ilmtal-Weinstraße|1452816|4843|036462 930|info@ag-pfiffelbach.de|Willerstedter Str.|||Grosshändler|Agrargesellschaft Pfiffelbach mbH|535
9306|||AGRO - Agrarprodukte GmbH|Zettlitz|1361865|4540|037382 81671|info@methauer-agro-ag.de|Str. der Jugend 68|||Grosshändler|AGRO-Agrarprodukte GmbH GB Milcherzeuger|806
2694|||Agrargenossenschaft HEIDEFARM SDIER eG|Großdubrau|1312528|4375|035934 7103|info@heidefarm.de|Hauptstraße 55||||Agrargenossenschaft Heidefarm Sdier eG|715
39264|||AG Bornum eG|Zerbst/Anhalt Stadt|1228059|4094|039248 9400||Zerbster Str. 9|||Landmaschinenhändler|Agrargenossenschaft Bornum e.G.|1229
9648|||Agrargenossenschaft Grünlichtenberg eG|Kriebstein|1200979|4003|034327 5610|info@gruenlichtenberg.com|Zum Waldbach 1|||Bauernmarkt|Agrargenossenschaft Grünlichtenberg e.G.|697
19217|||Agrargenossenschaft eG Köchelstorf|Köchelstorf|1174990|3917|038872 53221|agrar-koechelstorf@hot.mail.de|Dorfstr. 1|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft eG Köchelstorf|113
99439|||Erzeuger-Genossenschaft Neumark eG|Neumark Stadt|1148055|3827|036452 7820||Vor dem Obertore 160|||Großhändler für landwirtschaftliche Erzeugnisse|Erzeuger - Genossenschaft Neumark eG|1915
